label,premise_clean,hypothesis_clean,premise_sents,hypothesis_sents
contradiction,"A woman and a young girl smiling for the camera, in front of some flowers.",the mom and daughter are very sad at the dog dying,"['A woman and a young girl smiling for the camera, in front of some flowers.']",['the mom and daughter are very sad at the dog dying']
contradiction,"A young boy wearing a gray sweater, blue jeans and boots hangs upside down in a tire swing.",The boy is sitting down.,"['A young boy wearing a gray sweater, blue jeans and boots hangs upside down in a tire swing.']",['The boy is sitting down.']
contradiction,A woman with a very large black wig and giant sunglasses is holding a mirror up to her face.,The woman is cooking breakfast inside,['A woman with a very large black wig and giant sunglasses is holding a mirror up to her face.'],['The woman is cooking breakfast inside']
contradiction,Oriental man dressed in tank top and shorts is jumping and almost touching his left foot with left hand.,the man is white,['Oriental man dressed in tank top and shorts is jumping and almost touching his left foot with left hand.'],['the man is white']
contradiction,3 girls and one boy playing in the street.,The children are all indoors.,['3 girls and one boy playing in the street.'],['The children are all indoors.']
contradiction,Two girls are going for a swim in a mountain lake.,A boy and a girl are having a romantic swim in the city river.,['Two girls are going for a swim in a mountain lake.'],['A boy and a girl are having a romantic swim in the city river.']
contradiction,A woman fiddles with her phone at a diner.,she is swimming the english channel,['A woman fiddles with her phone at a diner.'],['she is swimming the english channel']
contradiction,Two women are walking casually down the street together.,There are two men,['Two women are walking casually down the street together.'],['There are two men']
contradiction,A bunch of kids in canoes on a river.,A few adults are swimming in the lake.,['A bunch of kids in canoes on a river.'],['A few adults are swimming in the lake.']
contradiction,A white dog and two black dogs playing,Two cats playing.,['A white dog and two black dogs playing'],['Two cats playing.']
contradiction,A group of different people are walking in all different directions in a city.,They are in the country,['A group of different people are walking in all different directions in a city.'],['They are in the country']
contradiction,A red car is passing in front of a double-decker bus.,the car is blue,['A red car is passing in front of a double-decker bus.'],['the car is blue']
contradiction,A street vendor tends to his stand with lots of kids toys and items.,The man has no goods on his stand.,['A street vendor tends to his stand with lots of kids toys and items.'],['The man has no goods on his stand.']
contradiction,A woman talking on a cellphone and a man with a mustache emerge up the stairs from an underground subway.,a man steps out of a taxi door,['A woman talking on a cellphone and a man with a mustache emerge up the stairs from an underground subway.'],['a man steps out of a taxi door']
contradiction,"A girl in a khaki jacket sitting next to a girl in an orange jacket on a ski-lift, both are smiling.",the girls fell off of the ski lift but are okay,"['A girl in a khaki jacket sitting next to a girl in an orange jacket on a ski-lift, both are smiling.']",['the girls fell off of the ski lift but are okay']
contradiction,"A woman wearing a blue top, brushes the hair of another woman, wearing a green top.",womans are brush their hair,"['A woman wearing a blue top, brushes the hair of another woman, wearing a green top.']",['womans are brush their hair']
contradiction,There are trees with no leaves in the background.,The trees are entirely underground,['There are trees with no leaves in the background.'],['The trees are entirely underground']
contradiction,The climber is wearing a red jacket as he climbs the ice.,The climber is swimming through a lake.,['The climber is wearing a red jacket as he climbs the ice.'],['The climber is swimming through a lake.']
